Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags,Discovery Path
SCAN,"{'id': 'SCAN:ef42d0a226e39be2524804db47de09c8a369a23a', 'name': 'auto_scan', 'target': {'seeds': ['example.com'], 'whitelist': ['example.com'], 'blacklist': [], 'strict_scope': False, 'hash': '5da2f572da1d1a14c0c42df494b0ab648cd4c4ff', 'seed_hash': '0caaf24ab1a0c33440c06afe99df986365b0781f', 'whitelist_hash': '0caaf24ab1a0c33440c06afe99df986365b0781f', 'blacklist_hash': 'da39a3ee5e6b4b0d3255bfef95601890afd80709', 'scope_hash': 'ac217ad3c68895558f3142a60bab40c9c5b2cdb1'}, 'preset': {'description': 'auto_scan', 'config': {'modules': {'neo4j': {'uri': 'bolt://bbot-neo4j-db:7687'}}}, 'flags': ['web-basic'], 'output_modules': ['csv', 'neo4j'], 'scan_name': 'auto_scan'}, 'started_at': '2026-06-28T08:17:26.087137', 'status': 'RUNNING'}",,TARGET,0,,
DNS_NAME,example.com,"104.20.23.154,172.66.147.243",TARGET,0,"a-record,cloud,cloud-google,cloudflare-ip,domain,google-ip,in-scope,mx-record,ns-record,soa-record,target,txt-record,waf,waf-cloudflare",Scan auto_scan seeded with DNS_NAME: example.com
ORG_STUB,example,,speculate,0,,Scan auto_scan seeded with DNS_NAME: example.com --> speculated ORG_STUB: example
DNS_NAME,hera.ns.cloudflare.com,"108.162.192.162,173.245.58.162,172.64.32.162",NS,1,"a-record,affiliate,cloud,cloud-google,cloudflare-domain,cloudflare-ip,distance-1,google-ip,subdomain,waf,waf-cloudflare",Scan auto_scan seeded with DNS_NAME: example.com --> NS record for example.com contains DNS_NAME: hera.ns.cloudflare.com
DNS_NAME,elliott.ns.cloudflare.com,"172.64.35.228,108.162.195.228,162.159.44.228",SOA,1,"a-record,affiliate,cloud,cloud-google,cloudflare-domain,cloudflare-ip,distance-1,google-ip,subdomain,waf,waf-cloudflare",Scan auto_scan seeded with DNS_NAME: example.com --> SOA record for example.com contains DNS_NAME: elliott.ns.cloudflare.com
STORAGE_BUCKET,"{'name': 'examplecom', 'url': 'https://www.googleapis.com/storage/v1/b/examplecom'}","216.239.38.223,216.239.36.223,216.239.34.223,216.239.32.223",bucket_google,1,"cloud,cloud-google,distance-1,google-domain,google-ip",Scan auto_scan seeded with DNS_NAME: example.com --> bucket_google tried 5 bucket variations of example.com and found STORAGE_BUCKET at https://www.googleapis.com/storage/v1/b/examplecom
STORAGE_BUCKET,"{'name': 'example_com', 'url': 'https://www.googleapis.com/storage/v1/b/example_com'}","216.239.38.223,216.239.36.223,216.239.34.223,216.239.32.223",bucket_google,1,"cloud,cloud-google,distance-1,google-domain,google-ip",Scan auto_scan seeded with DNS_NAME: example.com --> bucket_google tried 5 bucket variations of example.com and found STORAGE_BUCKET at https://www.googleapis.com/storage/v1/b/example_com
STORAGE_BUCKET,"{'name': 'example', 'url': 'https://example.firebaseio.com/.json'}","35.190.39.113,34.120.160.131,35.201.97.85,34.120.206.254",bucket_firebase,1,"cdn,cdn-gocache,cloud,cloud-google,distance-1,gocache-ip,google-domain,google-ip",Scan auto_scan seeded with DNS_NAME: example.com --> bucket_firebase tried 3 bucket variations of example.com and found STORAGE_BUCKET at https://example.firebaseio.com/.json
STORAGE_BUCKET,"{'name': 'example', 'url': 'https://www.googleapis.com/storage/v1/b/example'}","216.239.38.223,216.239.36.223,216.239.34.223,216.239.32.223",bucket_google,1,"cloud,cloud-google,distance-1,google-domain,google-ip",Scan auto_scan seeded with DNS_NAME: example.com --> bucket_google tried 5 bucket variations of example.com and found STORAGE_BUCKET at https://www.googleapis.com/storage/v1/b/example
STORAGE_BUCKET,"{'name': 'example', 'url': 'https://example.firebaseio.com/'}","34.120.160.131,34.120.206.254,35.190.39.113,35.201.97.85",cloudcheck,1,"cdn,cdn-gocache,cloud,cloud-google,distance-1,gocache-ip,google-domain,google-ip","Scan auto_scan seeded with DNS_NAME: example.com --> bucket_firebase tried 3 bucket variations of example.com and found STORAGE_BUCKET at https://example.firebaseio.com/.json --> cloudcheck discovered STORAGE_BUCKET: {'name': 'example', 'url': 'https://example.firebaseio.com/'}"
