Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags,Discovery Path
SCAN,"{'id': 'SCAN:cb80b4b57c3979c2f77fa3389dceb8dcf0782549', 'name': 'webheavy biz', 'target': {'seeds': ['bizmaxus.com'], 'whitelist': ['bizmaxus.com'], 'blacklist': [], 'strict_scope': False, 'hash': '8b3c5a978b6c181dc968192282b4d1f4cc5065cb', 'seed_hash': '43cc74dfeeefa74f186bad224a4f806434bd8849', 'whitelist_hash': '43cc74dfeeefa74f186bad224a4f806434bd8849', 'blacklist_hash': 'da39a3ee5e6b4b0d3255bfef95601890afd80709', 'scope_hash': '76e79a97aa6d35c38e2524271842ce8be19ef106'}, 'preset': {'description': 'webheavy biz', 'config': {'modules': {'neo4j': {'uri': 'bolt://bbot-neo4j-db:7687'}}}, 'flags': ['web-basic'], 'modules': ['nuclei'], 'output_modules': ['csv', 'neo4j'], 'scan_name': 'webheavy biz'}, 'started_at': '2026-06-28T08:41:17.265286', 'status': 'RUNNING'}",,TARGET,0,,
DNS_NAME,bizmaxus.com,145.79.209.156,TARGET,0,"a-record,domain,in-scope,mx-record,ns-record,soa-record,target,txt-record",Scan webheavy biz seeded with DNS_NAME: bizmaxus.com
ORG_STUB,bizmaxus,,speculate,0,,Scan webheavy biz seeded with DNS_NAME: bizmaxus.com --> speculated ORG_STUB: bizmaxus
DNS_NAME,atlas.dns-parking.com,172.64.52.87,SOA,1,"a-record,affiliate,cloud,cloud-google,cloudflare-ip,distance-1,google-ip,subdomain,waf,waf-cloudflare",Scan webheavy biz seeded with DNS_NAME: bizmaxus.com --> SOA record for bizmaxus.com contains DNS_NAME: atlas.dns-parking.com
DNS_NAME,secureserver.net,160.153.0.2,TXT,1,"a-record,affiliate,cloudflare-ip,distance-1,domain,waf,waf-cloudflare",Scan webheavy biz seeded with DNS_NAME: bizmaxus.com --> TXT record for bizmaxus.com contains DNS_NAME: secureserver.net
DNS_NAME,bizmaxus-com.mail.protection.outlook.com,"52.101.149.1,52.101.151.5,52.101.151.0,52.101.149.2",MX,1,"a-record,affiliate,cdn,cdn-github,cloud,cloud-microsoft,cloud-microsoft365,distance-1,github-ip,microsoft-domain,microsoft-ip,microsoft365-domain,microsoft365-ip,subdomain",Scan webheavy biz seeded with DNS_NAME: bizmaxus.com --> MX record for bizmaxus.com contains DNS_NAME: bizmaxus-com.mail.protection.outlook.com
DNS_NAME,hyperion.dns-parking.com,172.64.53.223,NS,1,"a-record,affiliate,cloud,cloud-google,cloudflare-ip,distance-1,google-ip,subdomain,waf,waf-cloudflare",Scan webheavy biz seeded with DNS_NAME: bizmaxus.com --> NS record for bizmaxus.com contains DNS_NAME: hyperion.dns-parking.com
OPEN_TCP_PORT,bizmaxus.com:443,145.79.209.156,speculate,0,in-scope,Scan webheavy biz seeded with DNS_NAME: bizmaxus.com --> speculated OPEN_TCP_PORT: bizmaxus.com:443
FINDING,"{'host': 'bizmaxus.com', 'description': 'OpenID Connect Endpoint (domain: bizmaxus.com) found at https://login.windows.net/bizmaxus.com/.well-known/openid-configuration', 'url': 'https://login.windows.net/bizmaxus.com/.well-known/openid-configuration'}",145.79.209.156,oauth,0,in-scope,"Scan webheavy biz seeded with DNS_NAME: bizmaxus.com --> oauth identified FINDING: OpenID Connect Endpoint for ""bizmaxus.com"" at https://login.windows.net/bizmaxus.com/.well-known/openid-configuration"
DNS_NAME,login.windows.net,"40.126.17.133,40.126.17.134,20.190.145.143,40.126.17.135,20.190.145.160,20.190.145.140,40.126.17.132,20.190.145.141,40.126.17.131,20.190.145.142",oauth->host,1,"a-record,affiliate,cdn,cdn-github,cloud,cloud-microsoft,cloud-microsoft365,cname-record,distance-1,github-domain,github-ip,microsoft-cname,microsoft-domain,microsoft-ip,microsoft365-cname,microsoft365-domain,microsoft365-ip,subdomain","Scan webheavy biz seeded with DNS_NAME: bizmaxus.com --> oauth identified OpenID Connect Endpoint for ""bizmaxus.com"" at URL_UNVERIFIED: https://login.windows.net/bizmaxus.com/.well-known/openid-configuration --> URL_UNVERIFIED has host DNS_NAME: login.windows.net"
DNS_NAME,sts.windows.net,"40.126.17.133,40.126.17.134,40.126.17.135,20.190.145.160,20.190.145.140,40.126.17.132,20.190.145.141,40.126.17.131,20.190.145.142",oauth->host,1,"a-record,affiliate,cdn,cdn-github,cloud,cloud-microsoft,cloud-microsoft365,cname-record,distance-1,github-domain,github-ip,microsoft-cname,microsoft-domain,microsoft-ip,microsoft365-cname,microsoft365-domain,microsoft365-ip,subdomain","Scan webheavy biz seeded with DNS_NAME: bizmaxus.com --> oauth analyzed OpenID configuration for ""bizmaxus.com"" and found URL_UNVERIFIED: https://sts.windows.net/939b3178-2bf1-4c28-8c85-ded6435814c8/ --> URL_UNVERIFIED has host DNS_NAME: sts.windows.net"
